off	sire	dam	sexe
IF2014007876	208678	IF2011001061	U
IF2014007877	207485	IF2011001099	U
IF2014007879	101770	IF2011001109	U
IF2014007881	204565	IF2011001095	U
IF2014007882	205057	IF2011001095	U
IF2014007883	95165	IF2011001095	F
IF2014007884	208678	IF2011001109	U
IF2014007885	211069	IF2011001084	U
IF2014007886	211069	IF2011001070	U
IF2014007887	208678	IF2011001095	M
IF2014007888	95165	IF2011001308	M
IF2014007889	207485	IF2011001095	U
IF2014007890	207485	IF2011001109	F
IF2014007891	208678	IF2011001092	U
IF2014007894	208678	IF2011001070	U
IF2014007895	74139	IF2011001092	U
IF2014007896	74139	IF2011001308	F
IF2014007897	208678	IF2011001070	F
IF2014007902	110855	IF2011001061	U
IF2014007904	206248	IF2011001095	U
IF2014007905	208678	IF2011001092	U
IF2014007907	101770	IF2011001092	U
IF2014007908	209360	IF2011001061	U
IF2014007909	206248	IF2011001070	U
IF2014007912	101770	IF2011001084	U
IF2014007913	100849	IF2011001308	M
IF2014007915	208678	IF2011001109	U
IF2014007916	95165	IF2011001308	U
IF2014007917	95003	IF2011001061	U
IF2014007918	205882	IF2011001061	U
IF2014007919	208678	IF2011001095	F
IF2014007922	*3	IF2011001092	U
IF2014007923	205882	IF2011001092	M
IF2014007924	207485	IF2011001092	U
IF2014007925	205057	IF2011001109	M
IF2014007926	206333	IF2011001092	U
IF2014007927	208678	IF2011001099	U
IF2014007929	209360	IF2011001109	U
IF2014007930	95003	IF2011001092	U
IF2014007933	206125	IF2011001109	U
IF2014007934	206333	IF2011001092	U
IF2014007935	100849	IF2011001092	U
IF2014007939	209360	IF2011001109	U
IF2014007940	205882	IF2011001092	U
IF2014007942	205057	IF2011001095	U
IF2014007943	208678	IF2011001070	U
IF2014007944	207485	IF2011001308	U
IF2014007945	*3	IF2011001095	U
IF2014007947	110855	IF2011001109	U
IF2014007948	208678	IF2011001099	U
IF2014007950	204565	IF2011001070	F
IF2014007951	205899	IF2011001109	U
IF2014007953	208678	IF2011001092	U
IF2014007954	208678	IF2011001092	M
IF2014007956	206333	IF2011001095	U
IF2014007957	74139	IF2011001109	M
IF2014007958	205638	IF2011001109	F
IF2014007959	208678	IF2011001095	F
IF2014007960	206125	IF2011001109	U
IF2014007961	204565	IF2011001070	F
IF2014007963	205057	IF2011001099	U
IF2014007965	209493	IF2011001061	U
IF2014007966	205057	IF2011001084	F
IF2014007968	204565	IF2011001061	M
IF2014007969	205882	IF2011001092	U
IF2014007970	208678	IF2011001070	U
IF2014007971	*3	IF2011001099	M
IF2014007973	208678	IF2011001099	U
IF2014007974	*3	IF2011001092	F
IF2014007975	205882	IF2011001095	M
IF2014007976	209360	IF2011001095	U
IF2014007977	NEM5	IF2011001135	U
IF2014007978	207485	IF2011001109	U
IF2014007980	209360	IF2011001109	M
