off	sire	dam	sexe
IF2014009026	192652	IF2011001493	U
IF2014009028	193778	IF2011001496	M
IF2014009029	18432	IF2011001072	U
IF2014009030	5200708	IF2011001190	M
IF2014009031	5185509	IF2011001190	M
IF2014009032	5187073	IF2011001413	F
IF2014009033	5187073	IF2011001496	U
IF2014009034	454528	IF2011001056	F
IF2014009035	IOLR.DL.SEM0..2017.8	IF2011001135	F
IF2014009036	98394	IF2011001413	F
IF2014009037	5201254	IF2011001435	U
IF2014009038	18432	IF2011001079	F
IF2014009039	NEM11	IF2011001249	M
IF2014009040	IOLR.DL.SEM0..2017.1	IF2011001102	M
IF2014009041	5193653	IF2011001493	M
IF2014009042	454528	IF2011001499	U
IF2014009043	5130071	IF2011001190	M
IF2014009044	454528	IF2011001087	U
IF2014009045	5185509	IF2011001058	F
IF2014009046	77028	IF2011001499	F
IF2014009047	204387	IF2011001072	M
IF2014009048	*5	IF2011001107	U
IF2014009049	5187073	IF2011001190	M
IF2014009050	454528	IF2011001087	M
IF2014009051	IOLR.DL.SEM0..2017.5	IF2011001249	U
IF2014009052	IOLR.DL.SEM0..2017.20	IF2011001249	U
IF2014009053	853760	IF2011001496	F
IF2014009054	BMC.DL.NEM0..2017.29	IF2011001135	M
IF2014009055	*1	IF2011001058	F
IF2014009057	115872	IF2011001496	U
IF2014009058	IOLR.DL.SEM0..2017.5	IF2011001135	M
IF2014009059	IOLR.DL.SEM0..2017.5	IF2011001102	F
IF2014009061	102209	IF2011001190	F
IF2014009062	BMC.DL.NEM0..2017.15	IF2011001020	M
IF2014009063	5200708	IF2011001045	M
IF2014009064	BMC.DL.NEM0..2017.16	IF2011001207	U
IF2014009066	IOLR.DL.SEM0..2017.6	IF2011001135	F
IF2014009067	IOLR.DL.SEM0..2017.11	IF2011001486	F
IF2014009068	IOLR.DL.SEM0..2017.14	IF2011001135	U
IF2014009069	SEM2	IF2011001249	M
IF2014009070	IOLR.DL.SEM0..2017.14	IF2011001179	M
IF2014009071	5204006	IF2011001058	M
IF2014009072	853760	IF2011001056	F
IF2014009073	5203735	IF2011001056	F
IF2014009074	IOLR.DL.SEM0..2017.9	IF2011001135	U
IF2014009075	BMC.DL.NEM0..2017.15	IF2011001135	M
IF2014009076	BMC.DL.NEM0..2017.29	IF2011001249	U
IF2014009077	SEM4	IF2011001179	F
IF2014009078	BMC.DL.NEM0..2017.3	IF2011001179	M
IF2014009079	IOLR.DL.SEM0..2017.21	IF2011001020	M
IF2014009080	77028	IF2011001076	F
IF2014009081	IOLR.DL.SEM0..2017.1	IF2011001135	U
IF2014009082	BMC.DL.NEM0..2017.10	IF2011001249	U
IF2014009084	204910	IF2011001413	F
IF2014009085	IOLR.DL.SEM0..2017.13	IF2011001102	U
IF2014009086	BMC.DL.NEM0..2017.10	IF2011001179	F
IF2014009087	IOLR.DL.SEM0..2017.12	IF2011001207	F
IF2014009088	BMC.DL.NEM0..2017.15	IF2011001135	M
IF2014009089	IOLR.DL.SEM0..2017.5	IF2011001280	U
IF2014009090	IOLR.DL.SEM0..2017.7	IF2011001102	F
IF2014009091	95654	IF2011001113	U
IF2014009092	BMC.DL.NEM0..2017.8	IF2011001179	U
IF2014009093	11008	IF2011001056	U
IF2014009094	*5	IF2011001102	U
IF2014009095	IOLR.DL.SEM0..2017.19	IF2011001135	F
IF2014009096	IOLR.DL.SEM0..2017.5	IF2011001179	F
IF2014009097	IOLR.DL.SEM0..2017.8	IF2011001207	F
IF2014009098	IOLR.DL.SEM0..2017.15	IF2011001135	F
IF2014009099	IOLR.DL.SEM0..2017.16	IF2011001135	F
IF2014009100	204910	IF2011001113	F
IF2014009101	IOLR.DL.SEM0..2017.9	#1	F
IF2014009102	IOLR.DL.SEM0..2017.20	IF2011001135	F
IF2014009103	645312	IF2011001056	U
IF2014009104	BMC.DL.NEM0..2017.10	IF2011001135	M
IF2014009105	115872	IF2011001122	M
IF2014009106	BMC.DL.NEM0..2017.10	IF2011001486	F
IF2014009107	5201254	IF2011001496	U
IF2014009108	5130071	IF2011001499	U
IF2014009109	115872	IF2011001045	F
IF2014009110	BMC.DL.NEM0..2017.6	IF2011001135	M
IF2014009111	IOLR.DL.SEM0..2017.1	IF2011001179	M
IF2014009113	5130071	IF2011001079	U
IF2014009114	101750	IF2011001058	F
IF2014009115	IOLR.DL.SEM0..2017.14	IF2011001207	M
IF2014009117	IOLR.DL.SEM0..2017.15	IF2011001486	F
IF2014009118	*2	IF2011001135	U
IF2014009119	BMC.DL.NEM0..2017.7	IF2011001179	U
IF2014009120	IOLR.DL.SEM0..2017.19	IF2011001207	M
IF2014009121	BMC.DL.NEM0..2017.15	IF2011001179	F
IF2014009122	IOLR.DL.SEM0..2017.13	IF2011001179	M
IF2014009123	BMC.DL.NEM0..2017.4	IF2011001135	U
IF2014009124	IOLR.DL.SEM0..2017.5	IF2011001179	F
IF2014009125	*2	IF2011001249	U
IF2014009126	BMC.DL.NEM0..2017.10	IF2011001249	U
IF2014009128	IOLR.DL.SEM0..2017.1	IF2011001249	U
IF2014009129	BMC.DL.NEM0..2017.10	IF2011001005	U
IF2014009130	IOLR.DL.SEM0..2017.9	IF2011001135	F
IF2014009131	IOLR.DL.SEM0..2017.9	IF2011001249	U
IF2014009132	IOLR.DL.SEM0..2017.5	IF2011001207	M
IF2014009133	5200708	IF2011001079	U
IF2014009134	*1	IF2011001087	U
IF2014009135	BMC.DL.NEM0..2017.16	IF2011001249	U
IF2014009136	IOLR.DL.SEM0..2017.6	IF2011001135	F
IF2014009137	IOLR.DL.SEM0..2017.19	IF2011001179	F
IF2014009138	*2	IF2011001135	F
IF2014009139	IOLR.DL.SEM0..2017.5	#1	U
IF2014009140	BMC.DL.NEM0..2017.9	IF2011001135	F
IF2014009141	BMC.DL.NEM0..2017.29	IF2011001249	U
IF2014009142	NEM11	#1	M
IF2014009144	NEM11	IF2011001249	M
IF2014009145	NEM13	IF2011001179	M
IF2014009146	BMC.DL.NEM0..2017.16	IF2011001486	F
IF2014009147	IOLR.DL.SEM0..2017.7	IF2011001102	F
IF2014009148	NEM11	IF2011001249	U
IF2014009149	IOLR.DL.SEM0..2017.11	IF2011001102	M
IF2014009150	BMC.DL.NEM0..2017.2	IF2011001102	F
IF2014009151	IOLR.DL.SEM0..2017.8	IF2011001102	U
IF2014009152	BMC.DL.NEM0..2017.4	IF2011001249	U
IF2014009153	IOLR.DL.SEM0..2017.20	IF2011001102	U
IF2014009154	IOLR.DL.SEM0..2017.9	IF2011001249	U
IF2014009155	SEM2	IF2011001179	U
IF2014009156	IOLR.DL.SEM0..2017.1	IF2011001020	F
IF2014009157	IOLR.DL.SEM0..2017.8	IF2011001135	F
IF2014009158	IOLR.DL.SEM0..2017.6	IF2011001107	U
IF2014009159	BMC.DL.NEM0..2017.10	IF2011001249	U
IF2014009160	IOLR.DL.SEM0..2017.14	IF2011001179	M
IF2014009161	IOLR.DL.SEM0..2017.9	IF2011001101	M
IF2014009162	BMC.DL.NEM0..2017.15	IF2011001020	M
IF2014009163	NEM13	#1	U
IF2014009164	BMC.DL.NEM0..2017.6	IF2011001249	M
IF2014009165	SEM2	IF2011001135	M
IF2014009166	IOLR.DL.SEM0..2017.17	IF2011001135	F
IF2014009167	BMC.DL.NEM0..2017.6	IF2011001135	U
IF2014009168	IOLR.DL.SEM0..2017.14	IF2011001135	F
IF2014009169	BMC.DL.NEM0..2017.7	IF2011001135	U
IF2014009170	*2	IF2011001179	U
IF2014009171	*2	IF2011001249	M
IF2014009172	IOLR.DL.SEM0..2017.19	IF2011001179	F
IF2014009173	NEM11	IF2011001179	U
IF2014009174	NEM11	IF2011001102	M
IF2014009175	NEM13	IF2011001179	M
IF2014009176	BMC.DL.NEM0..2017.7	IF2011001102	U
IF2014009177	BMC.DL.NEM0..2017.7	IF2011001102	M
IF2014009178	IOLR.DL.SEM0..2017.14	IF2011001280	F
IF2014009179	IOLR.DL.SEM0..2017.18	IF2011001020	U
IF2014009180	188185	IF2011001079	F
IF2014009181	SEM2	IF2011001135	M
IF2014009182	IOLR.DL.SEM0..2017.11	IF2011001280	M
IF2014009183	IOLR.DL.SEM0..2017.19	IF2011001005	U
IF2014009184	BMC.DL.NEM0..2017.16	IF2011001179	F
IF2014009185	NEM11	IF2011001102	M
IF2014009186	IOLR.DL.SEM0..2017.10	IF2011001005	U
IF2014009187	BMC.DL.NEM0..2017.16	IF2011001135	U
IF2014009188	*2	IF2011001135	F
IF2014009189	IOLR.DL.SEM0..2017.20	IF2011001107	U
IF2014009190	BMC.DL.NEM0..2017.6	IF2011001101	U
IF2014009191	IOLR.DL.SEM0..2017.19	IF2011001020	U
IF2014009192	NEM5	IF2011001135	U
IF2014009193	98394	IF2011001079	F
IF2014009194	BMC.DL.NEM0..2017.6	IF2011001486	M
IF2014009195	192652	IF2011001122	M
IF2014009196	*4	IF2011001102	M
IF2014009197	NEM13	IF2011001102	U
IF2014009198	NEM5	IF2011001207	M
IF2014009199	IOLR.DL.SEM0..2017.1	IF2011001249	U
IF2014009200	BMC.DL.NEM0..2017.2	IF2011001486	F
IF2014009201	*4	IF2011001135	M
IF2014009202	*4	IF2011001486	U
IF2014009203	NEM5	IF2011001179	F
IF2014009204	IOLR.DL.SEM0..2017.9	IF2011001135	F
IF2014009205	IOLR.DL.SEM0..2017.5	IF2011001179	F
IF2014009206	NEM5	IF2011001135	U
IF2014009207	IOLR.DL.SEM0..2017.17	IF2011001249	U
IF2014009208	IOLR.DL.SEM0..2017.11	IF2011001179	F
IF2014009209	BMC.DL.NEM0..2017.9	IF2011001486	U
IF2014009210	IOLR.DL.SEM0..2017.14	IF2011001020	M
IF2014009211	BMC.DL.NEM0..2017.10	IF2011001179	F
IF2014009212	BMC.DL.NEM0..2017.4	#1	U
IF2014009213	SEM4	IF2011001179	F
IF2014009214	*2	#1	F
IF2014009215	SEM4	IF2011001135	U
IF2014009216	IOLR.DL.SEM0..2017.14	IF2011001179	M
IF2014009217	IOLR.DL.SEM0..2017.15	IF2011001249	U
IF2014009218	IOLR.DL.SEM0..2017.21	IF2011001179	F
IF2014009219	NEM5	IF2011001249	U
IF2014009220	BMC.DL.NEM0..2017.6	IF2011001135	U
IF2014009221	*4	IF2011001179	M
IF2014009222	IOLR.DL.SEM0..2017.21	IF2011001005	U
IF2014009223	SEM2	IF2011001249	U
IF2014009224	IOLR.DL.SEM0..2017.15	IF2011001135	F
IF2014009225	645312	IF2011001056	U
IF2014009226	IOLR.DL.SEM0..2017.17	IF2011001249	U
IF2014009227	IOLR.DL.SEM0..2017.16	IF2011001102	F
IF2014009228	BMC.DL.NEM0..2017.1	IF2011001179	U
IF2014009229	BMC.DL.NEM0..2017.1	IF2011001179	M
IF2014009230	BMC.DL.NEM0..2017.10	IF2011001020	M
IF2014009231	IOLR.DL.SEM0..2017.14	IF2011001005	U
IF2014009232	IOLR.DL.SEM0..2017.10	IF2011001102	F
IF2014009233	BMC.DL.NEM0..2017.3	IF2011001249	U
IF2014009234	IOLR.DL.SEM0..2017.13	IF2011001179	M
IF2014009235	NEM13	#1	M
IF2014009236	IOLR.DL.SEM0..2017.8	IF2011001107	M
IF2014009237	BMC.DL.NEM0..2017.29	IF2011001135	U
IF2014009238	IOLR.DL.SEM0..2017.10	IF2011001179	U
IF2014009239	IOLR.DL.SEM0..2017.20	IF2011001179	F
IF2014009240	BMC.DL.NEM0..2017.7	IF2011001249	U
IF2014009241	NEM5	IF2011001249	U
IF2014009242	IOLR.DL.SEM0..2017.17	IF2011001135	M
IF2014009243	IOLR.DL.SEM0..2017.9	IF2011001135	U
IF2014009244	IOLR.DL.SEM0..2017.9	IF2011001102	F
IF2014009245	5193653	IF2011001072	F
IF2014009246	NEM11	IF2011001249	F
IF2014009247	IOLR.DL.SEM0..2017.7	IF2011001179	U
IF2014009248	IOLR.DL.SEM0..2017.1	IF2011001249	U
IF2014009249	BMC.DL.NEM0..2017.9	IF2011001102	U
IF2014009250	IOLR.DL.SEM0..2017.8	IF2011001249	U
IF2014009251	SEM2	IF2011001135	M
IF2014009252	204395	IF2011001079	M
IF2014009253	IOLR.DL.SEM0..2017.16	IF2011001135	F
IF2014009254	*1	IF2011001190	U
IF2014009255	IOLR.DL.SEM0..2017.11	IF2011001135	F
IF2014009256	853760	IF2011001079	M
IF2014009257	BMC.DL.NEM0..2017.15	IF2011001207	M
IF2014009258	5193653	IF2011001190	F
IF2014009259	IOLR.DL.SEM0..2017.3	IF2011001107	U
IF2014009260	BMC.DL.NEM0..2017.16	IF2011001102	F
IF2014009261	IOLR.DL.SEM0..2017.13	IF2011001179	F
IF2014009262	454528	IF2011001496	M
IF2014009263	BMC.DL.NEM0..2017.2	IF2011001135	U
IF2014009265	IOLR.DL.SEM0..2017.13	IF2011001179	F
IF2014009266	IOLR.DL.SEM0..2017.1	IF2011001249	U
IF2014009267	IOLR.DL.SEM0..2017.5	IF2011001249	U
IF2014009268	BMC.DL.NEM0..2017.10	IF2011001249	U
IF2014009269	IOLR.DL.SEM0..2017.14	IF2011001135	M
IF2014009270	BMC.DL.NEM0..2017.6	IF2011001135	U
IF2014009271	NEM5	IF2011001135	M
IF2014009272	IOLR.DL.SEM0..2017.11	IF2011001280	M
IF2014009273	SEM4	IF2011001179	U
IF2014009274	*2	IF2011001135	F
IF2014009275	SEM4	IF2011001135	F
IF2014009276	IOLR.DL.SEM0..2017.8	IF2011001249	U
IF2014009278	IOLR.DL.SEM0..2017.14	IF2011001179	F
IF2014009279	IOLR.DL.SEM0..2017.6	IF2011001249	U
IF2014009280	BMC.DL.NEM0..2017.6	IF2011001486	F
IF2014009281	*2	IF2011001179	M
IF2014009282	BMC.DL.NEM0..2017.10	IF2011001179	F
IF2014009283	BMC.DL.NEM0..2017.8	#1	M
IF2014009284	204387	IF2011001113	M
IF2014009285	SEM4	IF2011001249	U
IF2014009286	5201254	IF2011001072	M
IF2014009287	IOLR.DL.SEM0..2017.9	IF2011001207	F
IF2014009288	NEM11	IF2011001179	U
IF2014009289	IOLR.DL.SEM0..2017.11	IF2011001135	F
IF2014009290	BMC.DL.NEM0..2017.16	IF2011001179	F
IF2014009291	IOLR.DL.SEM0..2017.16	IF2011001107	M
IF2014009292	*2	IF2011001102	F
IF2014009293	BMC.DL.NEM0..2017.2	IF2011001179	F
IF2014009294	IOLR.DL.SEM0..2017.10	IF2011001135	M
IF2014009295	IOLR.DL.SEM0..2017.7	IF2011001249	U
IF2014009296	NEM5	IF2011001179	F
IF2014009297	SEM2	IF2011001005	U
IF2014009298	BMC.DL.NEM0..2017.29	IF2011001179	M
IF2014009299	IOLR.DL.SEM0..2017.5	IF2011001179	U
IF2014009300	IOLR.DL.SEM0..2017.13	IF2011001280	M
IF2014009301	BMC.DL.NEM0..2017.9	IF2011001135	M
IF2014009302	IOLR.DL.SEM0..2017.17	IF2011001135	F
IF2014009303	BMC.DL.NEM0..2017.10	IF2011001207	F
IF2014009304	IOLR.DL.SEM0..2017.5	IF2011001179	U
IF2014009305	SEM2	IF2011001135	M
IF2014009306	IOLR.DL.SEM0..2017.11	IF2011001179	F
IF2014009307	IOLR.DL.SEM0..2017.8	IF2011001102	M
IF2014009308	BMC.DL.NEM0..2017.9	IF2011001135	F
IF2014009309	IOLR.DL.SEM0..2017.9	IF2011001135	F
IF2014009310	IOLR.DL.SEM0..2017.20	IF2011001020	U
IF2014009311	BMC.DL.NEM0..2017.10	IF2011001102	U
IF2014009312	IOLR.DL.SEM0..2017.14	IF2011001101	U
IF2014009313	IOLR.DL.SEM0..2017.11	IF2011001135	F
IF2014009314	185618	IF2011001496	U
IF2014009315	*5	IF2011001179	M
IF2014009316	*2	IF2011001005	F
IF2014009317	IOLR.DL.SEM0..2017.5	IF2011001249	U
IF2014009318	BMC.DL.NEM0..2017.10	IF2011001249	U
IF2014009319	IOLR.DL.SEM0..2017.15	IF2011001102	U
IF2014009320	IOLR.DL.SEM0..2017.8	IF2011001135	M
IF2014009321	BMC.DL.NEM0..2017.6	IF2011001179	U
IF2014009322	IOLR.DL.SEM0..2017.6	IF2011001135	U
IF2014009323	BMC.DL.NEM0..2017.1	IF2011001135	U
IF2014009325	IOLR.DL.SEM0..2017.19	IF2011001179	F
IF2014009326	IOLR.DL.SEM0..2017.21	IF2011001207	F
IF2014009327	IOLR.DL.SEM0..2017.13	IF2011001135	F
IF2014009328	IOLR.DL.SEM0..2017.6	IF2011001207	M
IF2014009329	IOLR.DL.SEM0..2017.5	IF2011001179	F
IF2014009330	454528	IF2011001493	F
IF2014009331	204910	IF2011001113	U
IF2014009332	115872	IF2011001304	M
IF2014009333	IOLR.DL.SEM0..2017.5	IF2011001179	F
IF2014009334	BMC.DL.NEM0..2017.10	IF2011001005	U
IF2014009335	IOLR.DL.SEM0..2017.20	IF2011001135	F
IF2014009336	IOLR.DL.SEM0..2017.11	IF2011001280	F
IF2014009337	IOLR.DL.SEM0..2017.11	IF2011001179	F
IF2014009338	IOLR.DL.SEM0..2017.17	IF2011001005	U
IF2014009339	BMC.DL.NEM0..2017.3	IF2011001107	M
IF2014009340	IOLR.DL.SEM0..2017.15	IF2011001179	F
IF2014009341	BMC.DL.NEM0..2017.10	IF2011001102	M
IF2014009342	*5	IF2011001102	F
IF2014009343	IOLR.DL.SEM0..2017.1	IF2011001135	F
IF2014009344	IOLR.DL.SEM0..2017.20	IF2011001135	U
IF2014009345	SEM4	IF2011001207	U
IF2014009346	NEM11	IF2011001179	M
IF2014009348	NEM5	IF2011001005	U
IF2014009349	IOLR.DL.SEM0..2017.12	IF2011001179	F
IF2014009350	IOLR.DL.SEM0..2017.14	IF2011001249	U
IF2014009351	BMC.DL.NEM0..2017.9	IF2011001207	M
IF2014009352	IOLR.DL.SEM0..2017.10	IF2011001102	M
IF2014009353	IOLR.DL.SEM0..2017.15	IF2011001107	U
IF2014009354	IOLR.DL.SEM0..2017.8	#1	M
IF2014009355	IOLR.DL.SEM0..2017.12	IF2011001135	U
IF2014009356	BMC.DL.NEM0..2017.9	IF2011001102	F
IF2014009357	SEM4	IF2011001280	U
IF2014009358	IOLR.DL.SEM0..2017.6	IF2011001249	U
IF2014009359	IOLR.DL.SEM0..2017.6	IF2011001135	U
IF2014009360	IOLR.DL.SEM0..2017.8	IF2011001102	M
IF2014009361	IOLR.DL.SEM0..2017.16	IF2011001179	F
IF2014009362	NEM11	IF2011001179	M
IF2014009363	IOLR.DL.SEM0..2017.5	IF2011001135	F
IF2014009364	BMC.DL.NEM0..2017.16	IF2011001005	U
IF2014009365	IOLR.DL.SEM0..2017.14	IF2011001179	F
IF2014009366	IOLR.DL.SEM0..2017.11	IF2011001249	U
IF2014009367	IOLR.DL.SEM0..2017.17	#1	M
IF2014009368	IOLR.DL.SEM0..2017.20	IF2011001179	M
IF2014009369	IOLR.DL.SEM0..2017.5	#1	U
IF2014009370	BMC.DL.NEM0..2017.6	IF2011001179	U
IF2014009371	BMC.DL.NEM0..2017.2	IF2011001249	U
IF2014009372	*5	IF2011001486	U
IF2014009373	BMC.DL.NEM0..2017.16	IF2011001135	U
IF2014009374	NEM11	IF2011001135	F
IF2014009375	*2	IF2011001249	M
IF2014009376	IOLR.DL.SEM0..2017.12	IF2011001249	U
IF2014009377	BMC.DL.NEM0..2017.2	#1	U
IF2014009378	IOLR.DL.SEM0..2017.20	#1	F
IF2014009379	BMC.DL.NEM0..2017.1	IF2011001179	M
IF2014009380	BMC.DL.NEM0..2017.10	IF2011001486	M
IF2014009381	BMC.DL.NEM0..2017.29	IF2011001249	U
IF2014009382	*2	IF2011001249	M
IF2014009383	BMC.DL.NEM0..2017.3	IF2011001135	M
IF2014009384	BMC.DL.NEM0..2017.29	IF2011001179	F
IF2014009385	IOLR.DL.SEM0..2017.15	IF2011001179	U
IF2014009386	IOLR.DL.SEM0..2017.7	IF2011001179	F
IF2014009387	193778	IF2011001190	U
IF2014009388	IOLR.DL.SEM0..2017.7	IF2011001135	U
IF2014009389	IOLR.DL.SEM0..2017.15	IF2011001249	U
IF2014009390	BMC.DL.NEM0..2017.16	#1	U
IF2014009391	IOLR.DL.SEM0..2017.1	IF2011001179	U
IF2014009392	IOLR.DL.SEM0..2017.11	IF2011001207	F
IF2014009393	IOLR.DL.SEM0..2017.5	IF2011001249	U
IF2014009394	IOLR.DL.SEM0..2017.11	IF2011001179	U
IF2014009395	IOLR.DL.SEM0..2017.10	IF2011001179	U
IF2014009396	IOLR.DL.SEM0..2017.21	IF2011001249	U
IF2014009397	IOLR.DL.SEM0..2017.19	IF2011001005	U
IF2014009398	SEM4	IF2011001135	U
IF2014009399	*2	IF2011001107	U
IF2014009400	IOLR.DL.SEM0..2017.16	#1	M
IF2014009401	IOLR.DL.SEM0..2017.10	IF2011001020	F
IF2014009402	IOLR.DL.SEM0..2017.8	IF2011001005	U
IF2014009403	IOLR.DL.SEM0..2017.10	IF2011001249	U
IF2014009404	BMC.DL.NEM0..2017.16	#1	M
IF2014009405	IOLR.DL.SEM0..2017.6	IF2011001249	U
IF2014009406	*5	IF2011001280	M
IF2014009407	IOLR.DL.SEM0..2017.21	IF2011001249	U
IF2014009408	IOLR.DL.SEM0..2017.3	IF2011001107	U
IF2014009409	IOLR.DL.SEM0..2017.12	IF2011001135	U
IF2014009410	IOLR.DL.SEM0..2017.3	IF2011001179	M
IF2014009411	BMC.DL.NEM0..2017.6	IF2011001249	U
IF2014009412	IOLR.DL.SEM0..2017.7	IF2011001102	M
IF2014009413	BMC.DL.NEM0..2017.9	IF2011001179	U
IF2014009414	IOLR.DL.SEM0..2017.8	IF2011001249	F
IF2014009415	SEM4	IF2011001102	M
IF2014009417	IOLR.DL.SEM0..2017.19	IF2011001179	U
IF2014009418	*2	IF2011001249	U
IF2014009419	IOLR.DL.SEM0..2017.5	IF2011001249	U
IF2014009420	BMC.DL.NEM0..2017.9	IF2011001179	M
IF2014009421	IOLR.DL.SEM0..2017.5	IF2011001179	U
IF2014009422	IOLR.DL.SEM0..2017.14	IF2011001135	U
IF2014009423	IOLR.DL.SEM0..2017.3	IF2011001207	U
IF2014009424	IOLR.DL.SEM0..2017.7	IF2011001249	U
IF2014009425	IOLR.DL.SEM0..2017.5	IF2011001135	M
IF2014009426	853760	IF2011001076	F
IF2014009427	IOLR.DL.SEM0..2017.17	IF2011001102	U
IF2014009428	IOLR.DL.SEM0..2017.7	IF2011001179	F
IF2014009429	IOLR.DL.SEM0..2017.11	IF2011001179	F
IF2014009430	*2	IF2011001207	U
IF2014009431	IOLR.DL.SEM0..2017.8	IF2011001249	U
IF2014009432	IOLR.DL.SEM0..2017.10	IF2011001179	F
IF2014009433	BMC.DL.NEM0..2017.6	IF2011001249	U
IF2014009434	BMC.DL.NEM0..2017.10	IF2011001005	U
IF2014009435	BMC.DL.NEM0..2017.16	IF2011001107	F
IF2014009436	*2	IF2011001102	F
IF2014009437	BMC.DL.NEM0..2017.9	IF2011001135	F
IF2014009438	IOLR.DL.SEM0..2017.11	IF2011001179	F
IF2014009439	IOLR.DL.SEM0..2017.11	IF2011001135	M
IF2014009440	IOLR.DL.SEM0..2017.1	IF2011001005	U
IF2014009441	IOLR.DL.SEM0..2017.11	IF2011001179	F
IF2014009442	BMC.DL.NEM0..2017.16	IF2011001107	M
IF2014009443	*5	IF2011001207	U
IF2014009444	IOLR.DL.SEM0..2017.20	IF2011001102	F
IF2014009445	IOLR.DL.SEM0..2017.6	IF2011001249	U
IF2014009446	BMC.DL.NEM0..2017.10	IF2011001207	U
IF2014009447	SEM2	IF2011001280	F
IF2014009448	IOLR.DL.SEM0..2017.12	IF2011001179	F
IF2014009449	IOLR.DL.SEM0..2017.6	IF2011001101	U
IF2014009450	BMC.DL.NEM0..2017.1	IF2011001179	U
IF2014009451	*5	IF2011001207	U
IF2014009452	*4	IF2011001005	M
IF2014009453	BMC.DL.NEM0..2017.2	#1	U
IF2014009454	BMC.DL.NEM0..2017.3	#1	F
IF2014009455	NEM5	IF2011001249	U
IF2014009456	IOLR.DL.SEM0..2017.5	IF2011001107	U
IF2014009457	BMC.DL.NEM0..2017.8	IF2011001249	U
IF2014009458	NEM11	IF2011001280	M
IF2014009459	IOLR.DL.SEM0..2017.11	IF2011001102	F
IF2014009460	IOLR.DL.SEM0..2017.3	IF2011001249	U
IF2014009461	BMC.DL.NEM0..2017.7	IF2011001179	F
IF2014009462	SEM4	IF2011001249	U
IF2014009463	IOLR.DL.SEM0..2017.11	#1	U
IF2014009464	BMC.DL.NEM0..2017.3	IF2011001107	U
IF2014009465	SEM2	IF2011001005	U
IF2014009466	BMC.DL.NEM0..2017.7	IF2011001135	U
IF2014009467	IOLR.DL.SEM0..2017.14	IF2011001486	F
IF2014009468	IOLR.DL.SEM0..2017.18	IF2011001102	M
IF2014009469	BMC.DL.NEM0..2017.15	IF2011001102	U
IF2014009470	IOLR.DL.SEM0..2017.10	IF2011001179	M
IF2014009471	NEM11	IF2011001179	M
IF2014009472	IOLR.DL.SEM0..2017.10	IF2011001179	M
IF2014009473	NEM11	IF2011001280	M
IF2014009474	BMC.DL.NEM0..2017.4	IF2011001135	M
IF2014009475	BMC.DL.NEM0..2017.8	IF2011001249	U
IF2014009476	SEM2	IF2011001249	U
IF2014009477	*5	#1	U
IF2014009478	IOLR.DL.SEM0..2017.20	IF2011001135	F
IF2014009479	*5	IF2011001135	F
IF2014009480	IOLR.DL.SEM0..2017.14	IF2011001135	F
IF2014009481	IOLR.DL.SEM0..2017.13	IF2011001179	M
IF2014009482	BMC.DL.NEM0..2017.8	IF2011001179	M
IF2014009483	SEM2	IF2011001135	F
IF2014009484	5130071	IF2011001045	U
IF2014009485	IOLR.DL.SEM0..2017.15	IF2011001135	U
IF2014009486	IOLR.DL.SEM0..2017.10	IF2011001005	U
IF2014009487	BMC.DL.NEM0..2017.6	IF2011001249	U
IF2014009488	IOLR.DL.SEM0..2017.10	IF2011001135	U
IF2014009489	NEM13	IF2011001249	U
IF2014009490	IOLR.DL.SEM0..2017.5	IF2011001179	U
IF2014009491	IOLR.DL.SEM0..2017.20	IF2011001135	M
IF2014009492	BMC.DL.NEM0..2017.6	IF2011001135	M
IF2014009493	IOLR.DL.SEM0..2017.8	IF2011001005	U
IF2014009494	*5	IF2011001005	M
IF2014009495	SEM2	IF2011001107	F
IF2014009496	IOLR.DL.SEM0..2017.3	IF2011001179	M
IF2014009497	BMC.DL.NEM0..2017.16	IF2011001135	U
IF2014009498	IOLR.DL.SEM0..2017.6	#1	M
IF2014009499	IOLR.DL.SEM0..2017.9	IF2011001102	U
IF2014009500	IOLR.DL.SEM0..2017.5	IF2011001102	F
